mdsp_dm,mdsp_inst,mdsp_nsp,mdsp_auddig,mdsp_audtr,mdsp_vidtr,mdsp_viddig,mdsp_so,mdsp_on,mdsp_sem,sales
566447.69,58437.4,39602.98,8493.71,148152.31,108489.96,18978.62,168551.49,212169.86,645920.26,67762285.49
29756.13,36218.37,1543.17,6840.17,120800.77,70139.68,6229.47,108425.88,142446.91,402218.9,106544924.3
713391.1,29165.72,2250.18,3617.07,142303.41,42981.09,688.1,50121.84,123249.7,342444.97,92857789.33
306953.51,26267.91,16895.99,2658.21,100587.52,9223.92,18448,143463.91,93282.7,600744.23,98332911.67
1439848.44,35763.15,1020.83,5511.23,144140.62,112888.06,18297.04,190657.74,185121.85,320995.94,59546110.3
149779.89,44218.65,20308.82,4725.6,188533.99,104671.48,9193.23,188403.37,204226.46,942781.69,150549332.3
973650.58,32903.93,25588.19,8026.37,166255.14,102907.52,14503.16,126069.2,364832.31,406992.37,123119036.1
71833.19,66842.38,7105.07,4503.44,149626.36,97361.73,13175.78,126800.48,133175.81,721182.11,62677347.57
27877.17,40141.18,42018.46,3102.65,166570.49,36970.13,61042.98,200049.43,147654.1,380135.42,102024654.9
499413.85,20375.96,0,2496.71,79358.81,52529.2,7397.11,206056.87,317123.6,367261.21,110740225.9
1287813.52,10280.66,25131.03,1351.52,33949.54,40111.5,3630.5,153864.29,323703.25,417868.32,131468079
1466531.3,54695.41,33998.53,4734.81,102682.25,215406.93,12991.09,316760.29,201548.59,638848.9,139383055.8
78831.92,78517.85,144.4,2427.07,109336.33,332368.07,35196.03,135789.51,365806.42,557828.6,92512257.34
534742.93,48646.99,0,6780.85,239943.95,155836.59,25299.12,107583.06,351807.5,372034.2,118078328.1
2878.35,46294.04,144.4,4594.52,217923.89,193193.35,28235.47,196400.61,269152.14,463744.06,117496605.5
591943.37,78872.31,495.07,4491.01,156366.54,151220.83,9203.28,85050.2,170096.02,870975.66,73625299.55
833633.62,33619.17,2617.06,6072.93,229865.67,59390.36,5450.96,276175.07,406490.01,380479.64,59528136.68
429526.08,48835.94,144.4,9229.71,186518.35,336540.88,21036.31,274468.62,429245.93,888311.42,89482670.19
29834.97,36438.04,0,6374.66,81668,32459.93,9525.6,256910.84,508567.2,669346.8,104742177.1
478627.9,27883.57,0,2192.53,45818.25,76449.02,9945.29,290762.61,388997.51,417753.32,102279821.5
9240.93,40228.7,247.54,3600.19,81629.95,106915.43,5698.4,127450.1,367134.78,1069549.96,66717386.49
0,31610.68,0,6427.5,108353.11,38880.62,14408.25,51395.55,229922.46,882521.03,117429974.4
468700.11,44601.61,0,2288.04,138260.98,58461.7,9790.4,123897.22,147652.74,737018.14,64038606.38
696181.94,15339.78,564.4,939.86,67235.71,13895.66,1039.56,136457.71,143210.12,507774.28,53569648.92
27596.68,30488.45,247.54,313.29,7421.35,959.12,259.89,76394.95,145462.23,325930.71,99429060.81
